66.66667 2969 2.040 2.122
40.00000 1520 2.001 2.113
28.57143 974.0 1.925 2.008
22.22222 698.0 1.819 1.900
18.18182 534.0 1.738 1.813
15.38462 426.0 1.670 1.744
13.33333 352.0 1.617 1.690
11.76471 297.1 1.569 1.643
10.52632 255.6 1.532 1.601
9.523810 222.4 1.496 1.564
8.695650 195.6 1.462 1.532
8.000000 174.4 1.437 1.504
7.407400 156.5 1.409 1.478
6.896550 141.6 1.388 1.456
6.451610 128.6 1.367 1.434
6.060600 117.8 1.349 1.416
5.714280 107.9 1.330 1.397
5.405400 99.40 1.312 1.379
5.128200 92.00 1.298 1.364
4.878040 85.50 1.286 1.350
4.651160 79.70 1.270 1.336
4.444440 74.40 1.256 1.323
4.255310 69.60 1.246 1.311
4.081630 65.30 1.233 1.299
3.921560 61.50 1.222 1.288
3.773580 58.00 1.212 1.278
3.636360 54.70 1.203 1.268
3.508770 51.60 1.192 1.259
3.389830 48.90 1.184 1.249
3.278680 46.50 1.174 1.241
3.174600 44.00 1.166 1.233
3.076920 41.80 1.158 1.224
2.985070 39.90 1.151 1.218
2.898550 37.90 1.144 1.211
2.816900 36.20 1.136 1.204
2.739720 34.40 1.127 1.196
2.2900 28.0966 1.085 1.149
2.0650 22.7861 1.065 1.134
1.8390 18.4674 1.039 1.108
1.6510 14.9276 1.016 1.088
1.4910 12.0379 0.995 1.068
1.3540 9.6725 0.975 1.051
1.2370 7.7390 0.959 1.036
1.1380 6.1600 0.942 1.021
1.0540 4.8639 0.929 1.011
0.9830 3.8048 0.915 1.001
0.9230 2.9363 0.905 0.994
0.8730 2.2296 0.893 0.986
0.8310 1.6502 0.886 0.979
0.7950 1.1748 0.877 0.975
0.7660 0.7850 0.872 0.971
0.7410 0.4673 0.866 0.967
0.7210 0.2063 0.860 0.965
0.7040 0.0069 0.858 0.963

T        P    ro_liq  ro_solid

The data of Solid-Liquid coecistance curve for LJ potential
calculaded by
Alauddin Ahmed and Richard J. Sadus
Effect of potential truncations and shifts on the solid-liquid phase
coexistence of Lennard-Jones fluids. //
THE JOURNAL OF CHEMICAL PHYSICS V. 133, 124515 (2010)
